72,96,128
24.67%,11.22%,9.56%
22.78%,19.22%,20.67%
26.67%,13.11%,19.22%
32.00%,30.11%,13.00%
31.11%,30.22%,18.89%
30.56%,25.67%,27.33%
45.33%,33.56%,32.00%
42.78%,38.56%,34.89%
41.00%,44.67%,33.89%
49.00%,32.89%,34.89%
52.22%,47.67%,37.22%
46.78%,44.22%,33.33%
37.78%,39.44%,45.22%
54.78%,48.22%,42.33%
49.11%,49.67%,32.22%
41.11%,51.67%,38.22%
55.78%,44.67%,47.33%
58.67%,48.11%,31.78%
58.22%,49.33%,43.11%
62.11%,46.56%,33.67%
60.78%,50.00%,34.44%
52.78%,52.78%,44.67%
54.11%,53.44%,38.89%
51.11%,56.56%,44.22%
62.89%,56.22%,42.67%
54.44%,53.78%,53.00%
62.22%,45.89%,44.44%
60.33%,54.89%,44.67%
64.67%,46.56%,39.78%
61.78%,44.44%,39.56%
54.11%,49.33%,53.78%
56.89%,57.56%,48.44%
57.89%,55.67%,49.00%
61.78%,50.78%,45.33%
62.33%,58.44%,48.11%
60.67%,53.22%,47.56%
58.11%,52.56%,40.89%
59.89%,63.89%,52.11%
53.56%,62.33%,47.78%
69.33%,57.44%,51.11%
68.44%,62.11%,54.89%
61.56%,55.89%,51.67%
69.00%,58.67%,52.00%
68.44%,59.78%,51.11%
59.33%,62.22%,47.89%
66.22%,61.44%,54.44%
65.44%,57.33%,52.67%
59.33%,62.22%,54.22%
52.33%,63.33%,55.78%
64.11%,56.89%,57.44%
65.56%,61.00%,56.78%
66.67%,64.33%,53.78%
67.22%,69.89%,53.67%
70.44%,64.11%,52.11%
49.44%,60.00%,58.33%
68.56%,65.00%,59.89%
75.33%,57.22%,53.67%
71.89%,61.56%,58.56%
68.56%,64.78%,56.33%
72.56%,70.67%,59.33%
72.00%,56.67%,50.11%
71.33%,64.11%,59.33%
65.56%,63.56%,52.44%
73.67%,68.78%,61.22%
72.22%,67.22%,58.22%
62.11%,65.22%,57.33%
73.78%,58.33%,49.89%
76.67%,68.11%,60.00%
77.00%,65.78%,58.78%
70.11%,64.56%,55.78%
76.22%,71.11%,62.33%
75.22%,64.11%,61.56%
76.00%,69.89%,55.44%
73.44%,60.67%,50.56%
76.78%,66.00%,54.89%
76.11%,71.22%,65.11%
75.56%,70.44%,61.78%
74.33%,60.56%,50.44%
75.33%,71.67%,56.00%
76.22%,75.33%,61.89%
75.56%,67.00%,52.33%
40.22%,67.33%,65.00%
76.56%,72.00%,65.89%
76.67%,73.56%,63.22%
76.00%,75.22%,64.56%
75.67%,63.67%,66.56%
76.56%,76.33%,59.67%
76.22%,78.00%,57.22%
76.89%,78.67%,64.33%
75.78%,75.33%,58.89%
11.56%,69.67%,64.56%
11.56%,76.33%,62.44%
11.56%,70.00%,63.56%
11.56%,77.78%,61.00%
11.56%,74.11%,64.11%
11.56%,67.67%,64.44%
11.56%,75.11%,57.33%
11.56%,64.44%,65.56%
11.56%,67.67%,60.11%
11.56%,81.33%,64.22%
