,Tiempo Entrenamiento (s),Tiempo Evaluacion (s),Precision (%),Error (%)
0,4467.41716337204,27.325108289718628,0.7074527252502781,0.045542058597539216
1,4463.2239418029785,27.250081539154053,0.7797552836484983,0.03378316071562226
2,4463.024606227875,27.11881709098816,0.8175750834260289,0.03074518915421877
3,4464.822447061539,27.155887365341187,0.7085650723025584,0.04719073953290914
4,4472.974149465561,27.380560874938965,0.7697441601779755,0.03717691400899906
5,4467.168743133545,27.265695095062256,0.6763070077864294,0.050685221639853936
6,4470.051080465317,27.226597547531128,0.8053392658509455,0.03124491539362601
7,4470.875760793686,27.289991855621338,0.7775305895439377,0.037609550185900655
8,4469.99832201004,27.251715183258057,0.8131256952169077,0.030213884670390594
9,4473.352501153946,27.37440776824951,0.8086763070077865,0.031808207814554366
