1 GPU,CPU,1 GPU Dist,2 GPU Dist
27.94%,29.44%,28.83%,11.00%
19.06%,21.11%,21.83%,22.11%
23.89%,20.00%,26.61%,19.22%
33.00%,16.11%,35.00%,23.06%
33.56%,45.00%,33.11%,26.78%
32.56%,37.78%,41.28%,32.17%
45.61%,47.22%,42.67%,31.50%
42.61%,47.78%,43.78%,37.61%
48.89%,55.00%,46.83%,33.78%
49.00%,41.67%,50.11%,39.39%
49.11%,54.44%,50.83%,40.56%
51.11%,53.89%,49.50%,42.39%
55.00%,57.78%,53.39%,44.89%
55.78%,54.44%,52.06%,44.06%
56.00%,55.00%,56.17%,44.33%
54.78%,59.44%,53.17%,43.28%
57.94%,60.00%,57.39%,48.06%
57.50%,65.56%,59.06%,50.78%
60.00%,60.56%,58.89%,48.39%
60.67%,65.56%,61.33%,48.06%
60.78%,67.78%,60.00%,49.06%
61.00%,53.89%,57.61%,52.28%
59.61%,57.22%,62.72%,52.28%
60.61%,62.22%,63.22%,55.94%
62.11%,66.11%,60.56%,50.61%
64.39%,70.00%,64.61%,51.39%
65.94%,57.22%,68.00%,53.72%
64.17%,62.22%,64.78%,55.28%
64.83%,69.44%,65.44%,53.44%
68.33%,66.67%,66.22%,54.06%
64.28%,69.44%,67.22%,55.00%
65.50%,73.33%,64.39%,54.44%
66.28%,70.56%,70.28%,55.50%
64.67%,62.22%,68.17%,55.39%
70.56%,74.44%,68.67%,53.50%
69.00%,70.00%,71.17%,55.61%
72.39%,65.56%,70.89%,56.83%
70.94%,67.78%,69.22%,56.89%
71.89%,71.67%,69.83%,59.00%
71.33%,66.11%,70.56%,56.00%
70.61%,76.11%,76.00%,56.83%
74.00%,50.56%,72.39%,59.56%
75.00%,75.00%,76.06%,60.89%
74.56%,77.22%,76.72%,59.83%
74.50%,77.78%,74.94%,60.28%
76.50%,81.11%,75.11%,62.06%
76.89%,60.00%,79.67%,63.83%
74.06%,73.89%,75.06%,61.28%
79.11%,80.00%,77.72%,58.67%
78.39%,77.78%,77.11%,62.06%
79.28%,80.00%,80.33%,65.00%
75.39%,79.44%,78.06%,61.22%
77.28%,78.89%,79.94%,65.39%
80.06%,78.89%,76.39%,64.67%
80.28%,80.00%,75.78%,64.61%
81.22%,78.89%,80.00%,63.72%
77.39%,81.11%,75.11%,64.22%
80.11%,77.78%,77.72%,62.11%
79.89%,78.33%,80.11%,65.17%
78.89%,80.00%,80.22%,63.61%
79.11%,80.00%,79.83%,64.44%
78.78%,77.78%,80.56%,64.72%
80.33%,81.11%,80.33%,65.89%
79.89%,80.00%,80.28%,67.11%
80.33%,80.00%,79.78%,66.56%
80.22%,80.56%,80.56%,66.33%
79.17%,78.89%,80.67%,67.00%
80.28%,78.33%,80.11%,65.83%
80.39%,80.00%,80.11%,66.17%
79.94%,80.56%,80.50%,70.17%
76.94%,78.89%,80.28%,66.22%
79.89%,78.89%,80.44%,65.89%
80.44%,80.00%,80.50%,70.11%
80.56%,77.22%,80.39%,66.89%
80.11%,79.44%,80.39%,69.06%
80.17%,78.89%,79.89%,70.33%
80.22%,79.44%,79.28%,67.39%
80.28%,77.78%,80.11%,66.50%
80.67%,80.00%,80.28%,69.61%
80.28%,78.89%,80.06%,68.61%
80.72%,81.11%,79.89%,72.00%
80.28%,80.56%,79.83%,68.72%
80.22%,79.44%,79.78%,73.44%
80.17%,78.89%,80.17%,71.44%
80.61%,80.00%,80.17%,71.11%
80.28%,80.00%,80.06%,72.17%
80.50%,78.89%,80.11%,70.67%
80.22%,80.56%,80.11%,74.89%
79.89%,79.44%,79.83%,74.39%
78.94%,80.00%,79.94%,71.17%
79.94%,78.89%,79.67%,72.94%
80.72%,79.44%,79.72%,73.50%
80.50%,78.89%,79.89%,68.33%
80.44%,79.44%,80.50%,74.33%
80.50%,77.22%,80.17%,76.00%
80.17%,79.44%,80.44%,72.83%
77.28%,79.44%,80.33%,75.22%
80.67%,77.78%,80.06%,67.67%
80.44%,78.33%,80.39%,79.22%
80.39%,78.33%,80.33%,73.22%
